A Subject URL,TIC,Num_EB_Tags,Num_Transit_Tags,Num_Sectors,Num_EB_Adjusted,Is_EB_Catlogs,_Is_EB_inner,SIMBAD_Type,SIMBAD_IsEB,ASAS-SN_Type,ASAS-SN_IsEB,VSX_Type,VSX_IsEB,TessEB_IsEB,ExoFOP URL,In ASAS-SN but not VSX,Ra,Dec,Mag_TESS,MAX_Subject_ID,MAX_Sector,Contaminatio_Ratio
36036102,1159914,2,0,1,2,N/A,#VALUE!,PM*,N/A,,No-Data,,No-Data,No-Data,1159914,#VALUE!,286.620927,-29.036075,10.782,36036102,13,0.130585
48951863,10467747,2,0,1,2,N/A,#VALUE!,PM*,N/A,,No-Data,,No-Data,No-Data,10467747,#VALUE!,268.039564,32.130083,10.0992,48951863,26,0.042562
44572924,22877676,3,0,1,3,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,22877676,#VALUE!,204.996028,37.978753,9.1957,44572924,23,0.003545
30175638,36728572,2,0,1,2,N/A,#VALUE!,*,N/A,VAR,N/A,VAR,N/A,No-Data,36728572,#VALUE!,40.310918,-9.763653,8.9185,30175638,4,0.000295
36046252,38461578,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,38461578,#VALUE!,61.233795,-65.217404,11.0251,36046252,13,0.021847
30959993,43843023,3,0,1,3,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,43843023,#VALUE!,77.667403,-9.417513,9.0417,30959993,5,0.149173
31339817,49701947,2,0,3,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,49701947,#VALUE!,95.797601,-27.729186,10.9891,31339817,6,0.04244
48934888,76073981,6,0,1,6,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,76073981,#VALUE!,272.894218,40.21105,10.6652,48934888,26,0.595069
36028870,80254085,2,0,1,2,N/A,#VALUE!,PM*,N/A,,No-Data,,No-Data,No-Data,80254085,#VALUE!,298.781845,-45.938992,11.3228,36028870,13,0.037585
36962309,85711393,2,0,1,2,N/A,#VALUE!,PM*,N/A,,No-Data,,No-Data,No-Data,85711393,#VALUE!,298.270084,34.849094,11.9496,36962309,14,0.512542
36028759,86629981,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,86629981,#VALUE!,272.256531,-46.502255,10.2604,36028759,13,0.088397
34472719,140801898,2,0,2,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,140801898,#VALUE!,74.899945,-72.639173,10.408,34472719,11,0.069247
30960461,146439804,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,146439804,#VALUE!,75.733518,-22.228696,11.404,30960461,5,0.49213
36026492,149600376,3,0,3,3,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,149600376,#VALUE!,86.880546,-62.199058,10.7449,36026492,13,0.06194
41437360,150429807,3,0,1,3,N/A,#VALUE!,PM*,N/A,,No-Data,,No-Data,No-Data,150429807,#VALUE!,97.060708,-62.528687,9.6161,41437360,9,0.00491
44580309,159208074,3,0,1,3,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,159208074,#VALUE!,216.806396,34.722212,8.24179,44580309,23,0.000222
36039086,160991022,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,160991022,#VALUE!,276.179908,-49.256951,10.4443,36039086,13,0.091767
43293255,165721304,3,1,1,2,N/A,#VALUE!,PM*,N/A,,No-Data,,No-Data,No-Data,165721304,#VALUE!,231.162384,57.74932,8.0258,43293255,22,0.006924
31325090,167303776,3,1,2,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,167303776,#VALUE!,98.033355,-68.178184,14.1472,31325090,6,0.025799
36024151,167524561,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,167524561,#VALUE!,100.527739,-64.524761,10.5857,36024151,13,11.74519
41544056,167554898,3,0,1,3,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,167554898,#VALUE!,101.315662,-61.091364,9.6778,41544056,9,0.025707
41425746,167656297,3,0,1,3,N/A,#VALUE!,LP*,N/A,,No-Data,LPV,N/A,No-Data,167656297,#VALUE!,102.518827,-60.067197,13.9386,41425746,9,
36022114,177308817,2,0,2,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,177308817,#VALUE!,103.158268,-73.8246,11.467,36022114,13,
30253517,178171080,5,1,3,4,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,178171080,#VALUE!,43.266226,-31.403855,8.5895,30253517,4,
43283518,198537349,3,0,1,3,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,198537349,#VALUE!,237.124266,62.3445,8.2383,43283518,22,0.00041
48951484,199688472,4,2,2,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,199688472,#VALUE!,253.14033,57.97415,9.84566,48951484,26,0.04959
44564164,207385593,6,0,1,6,N/A,#VALUE!,PM*,N/A,,No-Data,,No-Data,No-Data,207385593,#VALUE!,203.705846,20.193281,11.2634,44564164,23,0.001334
48942603,229689154,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,229689154,#VALUE!,263.232412,57.680037,11.8832,48942603,26,0.2359
48227121,233060434,7,0,1,7,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,233060434,#VALUE!,269.729108,62.194058,12.7733,48227121,25,0.37434
48950926,235598526,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,YSO,N/A,No-Data,235598526,#VALUE!,272.661535,18.097044,12.1665,48950926,26,0.469219
31992482,237941053,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,237941053,#VALUE!,101.258348,-53.526058,10.436,31992482,7,0.005023
30974885,248990782,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,248990782,#VALUE!,78.160539,-4.665687,9.0623,30974885,5,0.00648
36039811,254278612,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,254278612,#VALUE!,288.897553,-36.949474,6.8654,36039811,13,0.000505
48948447,255921197,6,0,1,6,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,255921197,#VALUE!,307.442123,71.418717,9.0469,48948447,26,0.015016
36021377,260352096,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,260352096,#VALUE!,94.789226,-56.946781,14.8272,36021377,13,
36030526,260659986,2,0,1,2,N/A,#VALUE!,*,N/A,,No-Data,,No-Data,No-Data,260659986,#VALUE!,98.485361,-59.960623,10.6459,36030526,13,0.018127
36035541,261205462,2,0,1,2,N/A,#VALUE!,PM*,N/A,,No-Data,,No-Data,No-Data,261205462,#VALUE!,87.569828,-79.361075,5.5386,36035541,13,0.001506
