Subject_ID|eb_like_count|transit_like_count|comment_count|tag_count_json
30279407|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
30280751|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
30859446|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#possible_transits":1,"#dip":1}
30911127|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
30919857|6|0|9|{"#transitingplanet":1,"#eclipsingbinary":6,"like#eclipsingbinary":6}
30974552|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
31363005|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
31814660|6|2|7|{"#transit":1,"like#transit":2,"#eclipsingbinary":6,"like#eclipsingbinary":6,"#transits":1}
32571797|6|0|8|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#exoplanet":1}
32584289|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
32588183|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
32596784|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
32610143|6|1|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#transits":1,"like#transit":1}
32612288|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
32614111|6|1|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#transits":1,"like#transit":1}
33223913|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#no-tce":1,"#no_toi":1}
33280388|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
35157709|6|2|8|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#transit":1,"like#transit":2,"#possible":1}
35168497|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#contact":1,"#contactbinary":1}
35169804|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
35170038|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#stellarvariability":1}
35175320|5|0|7|{"#eclipsingbinary":5,"like#eclipsingbinary":5,"#eccentric-eb":1}
36022237|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#closebinary":1}
36978031|6|0|39|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#eclipsebinaries":1}
37754792|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
37757972|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#binary":1,"#closeorbit":1,"#eclispebinary":1}
37758834|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#flare":1}
37767010|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
37769952|6|0|8|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
37772113|5|0|6|{"#eclipsingbinary":5,"like#eclipsingbinary":5}
37776788|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
37778292|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
37860895|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
37861026|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#contactbinary":2}
37872778|6|0|9|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#tce":1}
37873031|5|0|7|{"#eclipsingbinary":5,"like#eclipsingbinary":5}
37873769|6|1|11|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#transit":1,"like#transit":1,"#tic198358825":1}
38691745|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
38693086|6|0|8|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
38700113|6|0|8|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
38702207|6|3|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#transits":3,"like#transit":3,"#variable":1}
38702419|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
38703840|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#contactbinary":1}
40864880|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
40868105|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
40887596|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
41018144|6|0|6|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#eccentric-eb":1}
41027669|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
41029911|6|1|8|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#variable":1,"#transits":1,"like#transit":1}
41030754|6|0|10|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#flare":1,"#eclipsing":1}
41032482|6|0|8|{"#eclipsingbinary":6,"like#eclipsingbinary":6,"#eccentric-eb":1}
41034815|6|0|7|{"#eclipsingbinary":6,"like#eclipsingbinary":6}
