hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457862.72792,be,V,10.299,0.02,291.18,5.358
2457801.89621,be,V,10.485,0.02,245.517,4.518
2457671.52267,be,V,10.176,0.02,326.093,6.0
2458207.81676,be,V,10.488,0.02,244.751,4.503
2457959.48055,be,V,10.293,0.02,292.989,5.391
2458212.77912,be,V,10.509,0.02,240.049,4.417
2458229.90074,be,V,10.477,0.02,247.139,4.547
2457834.87576,be,V,10.254,0.02,303.533,5.585
2458183.84366,be,V,10.51,0.02,239.802,4.412
2458308.80217,be,V,10.152,0.02,333.393,6.134
2458342.76463,be,V,10.186,0.02,323.312,5.949
2458370.55113,be,V,10.117,0.02,344.568,6.34
2458240.89488,be,V,10.441,0.02,255.605,4.703
2458205.79498,be,V,10.491,0.02,244.007,4.49
2458323.6832,be,V,10.123,0.02,342.611,6.304
2458210.80303,be,V,10.455,0.02,252.298,4.642
2457619.64292,be,V,10.179,0.02,325.379,5.987
2458034.58427,be,V,10.377,0.02,271.118,4.989
2457660.54315,be,V,10.251,0.02,304.521,5.603
2458329.72276,be,V,10.141,0.02,337.034,6.201
2457461.88563,be,V,10.178,0.02,325.667,5.992
2457935.795,be,V,10.276,0.02,297.449,5.473
2457863.76897,be,V,10.412,0.02,262.513,4.83
2458225.84192,be,V,10.503,0.02,241.442,4.443
2458366.69802,be,V,10.219,0.02,313.595,5.77
2458003.579,be,V,10.325,0.02,284.448,5.234
2457546.59033,be,V,10.21,0.02,316.071,5.816
2457600.55765,be,V,10.198,0.02,319.576,5.88
2457595.75672,be,V,10.199,0.02,319.397,5.877
2457831.8364,be,V,10.294,0.02,292.65,5.385
2458028.52132,be,V,10.342,0.02,279.943,5.151
2458338.77909,be,V,10.187,0.02,323.064,5.944
2458336.78502,be,V,10.255,0.02,303.419,5.583
2457872.80548,be,V,10.258,0.02,302.497,5.566
2457612.62521,be,V,10.197,0.02,320.109,5.89
2458360.68455,be,V,10.169,0.02,328.428,6.043
2457457.84048,be,V,10.208,0.02,316.89,5.831
2457828.81296,be,V,10.231,0.02,310.163,5.707
2458369.69097,be,V,10.301,0.02,290.703,5.349
2458355.69043,be,V,10.172,0.02,327.288,6.022
2458245.89935,be,V,10.468,0.02,249.25,4.586
2458233.76957,be,V,10.472,0.02,248.314,4.569
2458382.64841,be,V,10.203,0.02,318.114,5.853
2458224.81422,be,V,10.401,0.02,265.156,4.879
2458196.85511,be,V,10.377,0.02,270.992,4.986
2457637.55572,be,V,10.204,0.02,317.939,5.85
2457609.53703,be,V,10.18,0.02,324.984,5.98
2457485.80815,be,V,10.178,0.02,325.766,5.994
2458186.83048,be,V,10.536,0.02,234.178,4.309
2457946.80465,be,V,10.289,0.02,294.02,5.41
2457847.88579,be,V,10.262,0.02,301.492,5.547
2457966.7,be,V,10.281,0.02,296.081,5.448
2457960.65739,be,V,10.269,0.02,299.417,5.509
2457603.63818,be,V,10.203,0.02,318.197,5.855
2458330.55198,be,V,10.24,0.02,307.616,5.66
2458220.81534,be,V,10.439,0.02,256.013,4.711
2457854.74393,be,V,10.279,0.02,296.607,5.458
2457699.49856,be,V,10.271,0.02,298.843,5.499
2457689.52089,be,V,10.25,0.02,304.762,5.608
2457561.70242,be,V,10.181,0.02,324.728,5.975
2458365.70057,be,V,10.229,0.02,310.682,5.717
2457529.84225,be,V,10.185,0.02,323.446,5.951
2457825.82339,be,V,10.214,0.02,314.863,5.793
2457803.88106,be,V,10.288,0.02,294.182,5.413
2458222.82848,be,V,10.468,0.02,249.35,4.588
2458191.83713,be,V,10.459,0.02,251.42,4.626
2457879.68047,be,V,10.308,0.02,288.787,5.314
2457522.7767,be,V,10.105,0.02,348.376,6.41
2458193.84962,be,V,10.47,0.02,248.784,4.578
2458021.54422,be,V,10.377,0.02,271.11,4.988
2457906.81423,be,V,10.26,0.02,301.936,5.556
2457606.58674,be,V,10.182,0.02,324.328,5.968
2457575.64028,be,V,10.174,0.02,326.921,6.015
2457893.8695,be,V,10.245,0.02,306.176,5.634
2458372.56755,be,V,10.174,0.02,326.964,6.016
2458339.62378,be,V,10.152,0.02,333.587,6.138
2458334.6113,be,V,10.166,0.02,329.101,6.055
2458203.88753,be,V,10.445,0.02,254.571,4.684
2457957.61023,be,V,10.291,0.02,293.508,5.401
2457871.74911,be,V,10.275,0.02,297.908,5.482
2457843.82127,be,V,10.269,0.02,299.388,5.509
2458335.60733,be,V,10.167,0.02,328.947,6.053
2458306.69281,be,V,10.142,0.02,336.599,6.193
2458209.78133,be,V,10.492,0.02,243.903,4.488
2458200.86744,be,V,10.438,0.02,256.385,4.717
2458198.85367,be,V,10.444,0.02,254.844,4.689
2457657.58924,be,V,10.238,0.02,308.165,5.67
2457480.91062,be,V,10.162,0.02,330.524,6.082
2458189.89295,be,V,10.441,0.02,255.527,4.702
2457971.71048,be,V,10.303,0.02,290.159,5.339
2458174.86476,be,V,10.498,0.02,242.541,4.463
2457883.81545,be,V,10.227,0.02,311.12,5.725
2457839.78862,be,V,10.269,0.02,299.334,5.508
2457663.52445,be,V,10.189,0.02,322.396,5.932
2457694.51178,be,V,10.281,0.02,296.117,5.449
2458201.80195,be,V,10.465,0.02,250.054,4.601
2458018.62907,be,V,10.4,0.02,265.454,4.884
2458194.83449,be,V,10.507,0.02,240.433,4.424
2458185.83725,be,V,10.624,0.02,215.925,3.973
2458012.58118,be,V,10.324,0.02,284.685,5.238
2458361.55798,be,V,10.161,0.02,330.759,6.086
2458226.81518,be,V,10.506,0.02,240.822,4.431
2458035.56494,be,V,10.442,0.02,255.422,4.7
2457864.76472,be,V,10.25,0.02,304.816,5.609
2457548.58613,be,V,10.212,0.02,315.58,5.807
2458244.91676,be,V,10.447,0.02,254.161,4.677
2457952.77232,be,V,10.34,0.02,280.481,5.161
2457867.827,be,V,10.256,0.02,302.949,5.574
2457822.82999,be,V,10.247,0.02,305.438,5.62
2457621.64726,be,V,10.201,0.02,318.918,5.868
2458179.87745,be,V,10.497,0.02,242.647,4.465
2458167.89677,be,V,10.491,0.02,244.135,4.492
2457851.80695,be,V,10.258,0.02,302.448,5.565
2457817.87893,be,V,10.272,0.02,298.54,5.493
2457838.83413,be,V,10.274,0.02,298.012,5.483
2458359.70029,be,V,10.243,0.02,306.673,5.643
2457870.76479,be,V,10.263,0.02,301.21,5.542
2458345.74214,be,V,10.175,0.02,326.397,6.006
2458213.80454,be,V,10.448,0.02,254.035,4.674
2458190.82975,be,V,10.476,0.02,247.478,4.554
2457980.69733,be,V,10.311,0.02,287.995,5.299
2458347.71655,be,V,10.215,0.02,314.758,5.792
2458312.70988,be,V,10.135,0.02,338.874,6.235
2457566.64995,be,V,10.173,0.02,327.132,6.019
2457585.65487,be,V,10.149,0.02,334.437,6.154
2457557.60685,be,V,10.191,0.02,321.804,5.921
2457475.89883,be,V,10.156,0.02,332.329,6.115
2457889.69231,be,V,10.338,0.02,281.027,5.171
2457853.74845,be,V,10.257,0.02,302.649,5.569
2457622.6815,be,V,10.215,0.02,314.795,5.792
2458310.74717,be,V,10.146,0.02,335.475,6.173
2458223.79017,be,V,10.509,0.02,240.031,4.417
2458375.52199,be,V,10.157,0.02,331.921,6.107
2457984.60992,be,V,13.877,99.99,-0.909,2.157
2457876.70513,be,V,10.283,0.02,295.638,5.44
2458015.60055,be,V,10.347,0.02,278.672,5.128
2457458.88573,be,V,10.358,0.02,275.969,5.078
2457836.84844,be,V,10.277,0.02,297.291,5.47
2457633.6468,be,V,10.221,0.02,312.864,5.757
2457686.54172,be,V,10.312,0.02,287.716,5.294
2458354.61721,be,V,10.131,0.02,340.019,6.256
2458319.65102,be,V,10.127,0.02,341.141,6.277
2458008.52745,be,V,10.266,0.02,300.395,5.527
2457974.62007,be,V,10.279,0.02,296.585,5.457
